Borough,UHF42,Zip,PoorPhysicalHealthPercent,PoorMentalHealthPercent,HighBPPercent,avgHVI,MedianAge,MedianIncome,PercentCollege,PercentMale,PercentMarried,PercentWhite,PercentBlack,PercentAsian,PercentOtherRace,Percent65plus,ForeignBornPercent,RacialDiversityIndex,MedianHouseholdIncome,PovertyRate,UnemployRate,BAdegreePercent,HomeownershipPercent
MN,302,10027,12.6,18.5,25.8,3.75,32.5,64220.0,51.9,48.5,24.5,30.2,36.1,10.2,23.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,302,10030,14.5,18.8,32.2,4.0,37.3,42738.0,35.0,47.2,22.7,15.1,58.3,4.9,21.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,302,10037,14.0,17.0,35.5,5.0,41.6,51250.0,43.2,42.4,23.4,14.0,64.0,4.2,17.8,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,302,10039,17.0,19.8,34.7,4.333333333333333,38.6,48792.0,27.1,47.0,23.5,10.4,54.9,1.5,33.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,303,10029,16.3,18.4,30.7,4.5,37.8,38308.0,35.7,43.6,24.1,21.2,31.6,11.9,35.3,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,303,10035,17.7,19.2,33.8,5.0,36.9,40556.0,30.7,50.6,22.5,20.4,38.2,5.8,35.6,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,304,10023,8.9,12.5,24.5,1.0,43.8,157866.0,84.3,45.9,42.0,67.6,4.7,16.2,11.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,304,10024,8.8,11.9,25.7,1.0,44.8,182614.0,84.2,47.0,52.0,81.0,3.0,4.8,11.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,304,10025,10.7,14.1,26.4,1.3333333333333333,40.4,109195.0,68.8,46.8,34.3,57.8,10.6,10.1,21.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,305,10021,8.5,12.3,24.0,1.0,41.8,156712.0,80.6,43.7,52.0,82.6,0.6,9.8,7.0,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,305,10028,7.9,12.5,22.1,1.0,42.8,168125.0,83.3,44.8,48.3,84.5,1.6,7.0,6.9,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,305,10044,8.3,12.4,21.7,1.0,39.4,106146.0,72.0,46.3,49.6,42.2,14.8,29.5,13.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,305,10128,8.7,13.3,22.4,2.0,42.7,148705.0,77.5,44.4,45.3,70.5,5.4,10.5,13.6,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,306,10001,8.8,14.5,19.4,1.0,35.0,123393.0,71.5,48.4,28.6,54.7,10.6,18.0,16.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,306,10011,8.7,13.6,21.7,1.0,43.0,146571.0,79.2,50.3,33.6,71.6,4.0,10.4,14.0,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,306,10018,7.7,13.9,17.7,1.3333333333333333,33.5,133042.0,75.2,49.8,31.3,44.2,10.0,27.4,18.4,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,306,10019,8.5,13.3,21.7,1.3333333333333333,40.6,121835.0,77.5,54.6,31.5,60.7,6.2,18.4,14.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,306,10036,9.6,14.2,22.1,1.3333333333333333,39.7,100225.0,69.3,56.7,25.2,55.6,8.1,15.3,21.0,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,307,10010,8.3,14.4,20.2,1.0,36.0,156127.0,80.5,46.6,37.4,65.5,9.1,14.2,11.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,307,10016,6.9,13.3,17.5,1.0,33.7,153065.0,81.7,48.8,31.1,62.0,4.7,19.9,13.4,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,307,10017,7.3,11.9,20.6,1.0,41.4,132518.0,85.3,46.1,35.9,67.4,3.3,18.3,11.0,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,307,10022,8.5,11.7,24.7,1.0,47.1,171038.0,83.6,46.2,50.1,76.8,2.0,11.7,9.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,308,10012,7.9,14.0,19.6,1.0,35.5,130938.0,83.3,47.8,30.9,69.0,3.3,17.3,10.4,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,308,10013,9.1,13.9,21.7,1.6666666666666667,40.3,159474.0,72.0,47.4,45.1,56.3,3.7,30.6,9.4,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,308,10014,7.5,13.0,19.8,1.0,39.4,167254.0,84.8,49.1,34.1,81.7,3.0,5.1,10.2,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,309,10002,15.0,15.8,31.2,2.3333333333333335,42.9,46525.0,38.9,50.5,34.9,31.2,9.4,36.7,22.7,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,309,10003,8.0,15.5,17.9,1.25,31.7,153750.0,82.2,49.1,25.6,67.2,4.4,17.9,10.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,309,10009,11.5,15.8,23.9,1.5,38.2,87963.0,62.6,50.1,28.0,55.4,8.6,12.9,23.1,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
MN,310,10004,6.5,12.7,16.9,1.0,32.9,220592.0,90.9,54.7,53.1,63.5,7.2,23.8,5.5,12.2,29.4,0.68,73910.0,19.9,8.4,49.4,20.2
